topic_mean,report_mean,filter_mean,filter_category,denominator_ind,numerator_ind
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_1,fusion_custom_comp_1,mp_sect_params,,
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_1,fusion_custom_comp_prg_1,link_entry,,
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_1,fusion_custom_comp_obj_1,link_entry,,
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_2,fusion_custom_comp_2,mp_sect_params,,
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_2,fusion_custom_comp_prg_2,link_entry,,
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_2,fusion_custom_comp_obj_2,link_entry,,
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_3,fusion_custom_comp_3,mp_sect_params,,
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_3,fusion_custom_comp_prg_3,link_entry,,
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_3,fusion_custom_comp_obj_3,link_entry,,
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_4,fusion_custom_comp_4,mp_sect_params,,
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_4,fusion_custom_comp_prg_4,link_entry,,
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_4,fusion_custom_comp_obj_4,link_entry,,
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_5,fusion_custom_comp_5,mp_sect_params,,
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_5,fusion_custom_comp_prg_5,link_entry,,
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_5,fusion_custom_comp_obj_5,link_entry,,
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_6,fusion_custom_comp_6,mp_sect_params,,
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_6,fusion_custom_comp_prg_6,link_entry,,
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_6,fusion_custom_comp_obj_6,link_entry,,
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_7,fusion_custom_comp_7,mp_sect_params,,
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_7,fusion_custom_comp_prg_7,link_entry,,
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_7,fusion_custom_comp_obj_7,link_entry,,
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_8,fusion_custom_comp_8,mp_sect_params,,
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_8,fusion_custom_comp_prg_8,link_entry,,
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_8,fusion_custom_comp_obj_8,link_entry,,
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_9,fusion_custom_comp_9,mp_sect_params,,
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_9,fusion_custom_comp_prg_9,link_entry,,
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_9,fusion_custom_comp_obj_9,link_entry,,
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_10,fusion_custom_comp_10,mp_sect_params,,
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_10,fusion_custom_comp_prg_10,link_entry,,
mp_vb_wf_fusion_custom_comp,mp_vb_wf_fusion_custom_comp_10,fusion_custom_comp_obj_10,link_entry,,
